id,category,name,objective,method,pros,cons
20,Contextual/ACT,Aceptación Radical,Tolerar experiencias sin evitación.,Permitir experiencias desagradables sin intentar cambiarlas.,"Ahorra energía, rompe ciclos de lucha.","Contraintuitiva, puede confundirse con resignación."
21,Regulación Emocional,Habilidades TIPP,Regular crisis fisiológica.,"Temperatura (hielo), Ejercicio intenso, Respiración pautada, Relajación.",Rápidamente efectiva en crisis.,Efectos temporales.
22,Regulación Emocional,Habilidades ACCEPTS,Distracción de angustia inmediata.,"Actividades, Contribución, Comparaciones, Emociones opuestas.",Interrumpe rumiación en crisis.,"Es una estrategia temporal, no resuelve."
23,Regulación Emocional,Auto-Calma (Self-Soothing),Calmar sistema nervioso.,"Estimulación deliberada de los 5 sentidos (vista, oído, tacto...).",Accesible y placentera.,Puede generar habituación.
24,Regulación Emocional,IMPROVE the Moment,Mejorar tolerancia al momento.,"Imaginería, Significado, Oración, Relajación, Una cosa a la vez.","Flexible, refuerza resiliencia.",Requiere creatividad cognitiva.
25,Exposición,Desensibilización Sistemática,Reducir ansiedad a estímulos.,Relajación profunda + exposición imaginal gradual en jerarquía.,Menos traumática que en vivo.,"Lenta, requiere entrenamiento en relajación."
26,Exposición,Exposición Gradual en Vivo,Reducir miedo por habituación.,Exposición real escalonada sin escape.,Aprendizaje conductual fuerte.,Altamente ansiógena inicialmente.
27,Exposición,Exposición Imaginal,Procesar trauma.,Relatar memoria traumática en detalle repetidamente.,Efectiva para TEPT.,"Muy angustiante, requiere cuidado."
28,Habilidades,Entrenamiento de Habilidades Conductuales (BST),Adquirir habilidades complejas.,"Instrucción, Modelado, Ensayo, Retroalimentación.","Altamente efectiva, componentes múltiples.",Intensiva en tiempo.
29,Habilidades,Modelado Conductual,Enseñar por imitación.,Demostración clara de la conducta deseada.,Aprendizaje vicario rápido.,Requiere un buen modelo.
30,Habilidades,Ensayo de Rol (Role-Play),Practicar en ambiente seguro.,Actuar situaciones desafiantes con terapeuta.,Feedback inmediato sin riesgos.,Puede dar vergüenza.
31,Mindfulness,Entrenamiento de Atención (ATT),Control atencional voluntario.,Escuchar sonidos selectivos y cambiar foco.,Reduce rumiación y ansiedad.,"Tedioso, requiere consistencia."
32,Mindfulness,Mindfulness/Meditación,Conciencia presente no juzgadora.,"Atención a la respiración, retorno suave tras distracción.","Neuroplasticidad, regulación emocional.",Requiere práctica prolongada.
33,Mindfulness,Body Scan,Conexión mente-cuerpo.,Recorrido atencional por sensaciones corporales.,Reconocimiento emocional somático.,"Lento, puede activar traumas."
34,Mindfulness,Respiración Diafragmática,Activar sistema parasimpático.,Respiración lenta controlada con el vientre.,Reduce activación fisiológica.,Insuficiente en crisis de pánico severo.
35,Auto-Manejo,Autorregistro (Self-Monitoring),Conciencia de patrones.,Registro sistemático propio de conductas/emociones.,Efecto reactivo positivo.,Requiere disciplina.
36,Auto-Manejo,Establecimiento de Metas,Definir progreso.,Metas SMART colaborativas.,Claridad y motivación.,Riesgo de frustración si son irreales.
37,Auto-Manejo,Autorrefuerzo,Auto-motivación.,Administrarse premios tras cumplir metas.,Empodera agencia.,Posible 'trampa'.
38,Auto-Manejo,Contratos de Contingencia,Acuerdo explícito.,Contrato escrito de conducta-consecuencia.,Claridad de expectativas.,Puede sentirse rígido o coercitivo.
39,Estímulos,Análisis ABC,Identificar relaciones funcionales.,Analizar Antecedente-Conducta-Consecuencia.,Base de intervención.,Puede ser complejo.
40,Estímulos,Análisis Funcional,Comprender el propósito de la conducta.,"Identificar función (atención, escape, tangible, sensorial).",Crucial para eficacia.,Requiere entrenamiento experto.
41,Estímulos,Mapeo de Contingencia,Organizar visualmente relaciones.,Diagramas visuales de desencadenantes y consecuencias.,Útil para procesamiento visual.,Puede simplificar demasiado.
42,Estímulos,Control de Estímulos,Modificar ambiente.,Alterar entorno para facilitar/prevenir conductas.,"Preventivo, bajo costo.",No siempre es posible modificar el entorno.
43,Motivación,Entrevista Motivacional,Resolver ambivalencia.,"Preguntas abiertas, escucha, evocar charla de cambio.",Aumenta motivación intrínseca.,Requiere habilidades específicas.
44,Motivación,Apoyo a la Autonomía,Fomentar elección.,Ofrecer opciones y justificaciones.,Mejora adherencia y satisfacción.,Puede parecer permisivo.
45,Motivación,Teoría de la Autodeterminación,Satisfacer necesidades básicas.,"Promover autonomía, competencia y relación.",Cambio sostenible.,Requiere visión sistémica.
46,Mantenimiento,Desvanecimiento del Refuerzo,Reducir dependencia.,Pasar a refuerzo intermitente gradualmente.,Resistencia a extinción.,Riesgo si es muy rápido.
47,Mantenimiento,Generalización de Conducta,Transferir a vida real.,Entrenar en múltiples contextos con variaciones.,Asegura utilidad real.,Requiere planificación costosa.
48,Mantenimiento,Planeamiento de Mantenimiento,Prevenir recaídas.,Identificar riesgos futuros y planes de acción.,Empodera post-terapia.,El paciente puede olvidar el plan.
49,Mantenimiento,ABC Renewal Prevention,Prevenir resurgimiento por contexto.,Entrenar y reforzar en contextos originales.,Científicamente robusto.,Complejo de implementar.
50,Compasión,Auto-Compasión,Amabilidad ante la dificultad.,Tratarse con calidez en lugar de crítica.,"Mejora resiliencia, reduce vergüenza.",Puede confundirse con auto-indulgencia.
51,Compasión,Meditación de Bondad Amorosa,Generar afecto positivo.,Frases de deseo de bienestar a uno mismo y otros.,Aumenta conexión social.,Puede parecer artificial.
52,Compasión,Terapia Enfocada en Compasión,Regular sistemas emocionales.,Activar sistema de calma y seguridad.,Efectiva para vergüenza y trauma.,Puede ser intensa emocionalmente.
